Farmers Market Name,Additional Information,Street Address,Borough,State,Zip Code,Latitude,Longitude
Bay Ridge Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,95th St,Brooklyn,NY,11209,41,-74
Boro Park Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,14th Ave bet 49th & 50th Sts,Brooklyn,NY,11219,41,-74
Isabahlia Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,Livonia Ave bet Powell & Junius Sts,Brooklyn,NY,11212,41,-74
Brooklyn Borough Hall Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Court & Montague Sts,Brooklyn,NY,11201,41,-74
Brownsville Pitkin Avenue Youthmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org/youthmarket'' target=''_blank''>http://www.grownyc.org/youthmarket</a>,Thomas Boyland St bet Pitkin & Sutter Aves,Brooklyn,NY,11212,41,-74
Carroll Gardens Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Smith St,Brooklyn,NY,11231,41,-74
Cortelyou Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Rugby Rd,Brooklyn,NY,11226,41,-74
Cypress Hills Youthmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org/youthmarket'' target=''_blank''>http://www.grownyc.org/youthmarket</a>,Logan St,Brooklyn,NY,11208,41,-74
East New York Farm Stand,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://http://www.eastnewyorkfarms.org/index.php?option=com_content&view=article&id=7&Itemid=15'' target=''_blank''>http://http://www.eastnewyorkfarms.org/index.php?option=com_content&view=article&id=7&Itemid=15</a>,New Lots Ave,Brooklyn,NY,11207,41,-74
East New York Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://http://www.eastnewyorkfarms.org/index.php?option=com_content&view=article&id=7&Itemid=15'' target=''_blank''>http://http://www.eastnewyorkfarms.org/index.php?option=com_content&view=article&id=7&Itemid=15</a>,Schenck Ave,Brooklyn,NY,11207,41,-74
Fort Greene Park Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Washington Park,Brooklyn,NY,11205,41,-74
Graham Avenue Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://http://grahamavenuebid.net/event/farmers-market-returns-to-cook-st-2'' target=''_blank''>http://http://grahamavenuebid.net/event/farmers-market-returns-to-cook-st-2</a>,Ave of Puerto Rico,Brooklyn,NY,11206,41,-74
Grand Army Plaza Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Prospect Park W & Flatbush Ave,Brooklyn,NY,11225,41,-74
Greenpoint/ McCarren Park Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Union Ave bet Driggs Ave & N 12th St,Brooklyn,NY,11222,41,-74
Hattie Carthan After Church Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://http://www.hattiecarthancommunitymarket.com/'' target=''_blank''>http://http://www.hattiecarthancommunitymarket.com/</a>,Van Buren St,Brooklyn,NY,11216,41,-74
Hattie Carthan Community Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://http://www.hattiecarthancommunitymarket.com/'' target=''_blank''>http://http://www.hattiecarthancommunitymarket.com/</a>,Marcy Ave,Brooklyn,NY,11216,41,-74
High School for Public Service Youth Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://http://hspsfarm.blogspot.com/p/market.html'' target=''_blank''>http://http://hspsfarm.blogspot.com/p/market.html</a>,Kingston Ave,Brooklyn,NY,11203,41,-74
Kensington Youthmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org/youthmarket'' target=''_blank''>http://www.grownyc.org/youthmarket</a>,Ft. Hamilton Pkwy bet E 4th & E 5th Sts,Brooklyn,NY,11218,41,-74
Malcolm X Blvd Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://http://www.brooklynrescuemission.org/Pages/farmstand.aspx'' target=''_blank''>http://http://www.brooklynrescuemission.org/Pages/farmstand.aspx</a>,Malcolm X Blvd bet Marion & Chauncey Sts,Brooklyn,NY,11233,41,-74
Park Slope's Down to Earth Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,4th St,Brooklyn,NY,11215,41,-74
Sunset Park Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,60th St,Brooklyn,NY,11220,41,-74
Urban Oasis Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,Clarkson & Troy Aves,Brooklyn,NY,11203,41,-74
Walt L Shamel Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,"Dean St bet Franklin & Bedford Aves, at Walt L Sha",Brooklyn,NY,11216,41,-74
Windsor Terrace - PS 154 Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,11th Ave bet Sherman St & Windsor Pl,Brooklyn,NY,11215,41,-74
125th Street Fresh Connect Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,"W 125th St & Adam Clayton Powell Blvd, State Offic",Manhattan,NY,10027,41,-74
57th Street Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,W 57th St & 9th Ave,Manhattan,NY,10019,41,-74
79th Street Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,W 81st St,Manhattan,NY,10024,41,-74
82nd Street Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,82nd St,Manhattan,NY,10028,41,-74
92nd Street Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,1st Avenue,Manhattan,NY,10128,41,-74
97th Street Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Amsterdam Ave,Manhattan,NY,10025,41,-74
Abingdon Square Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,8th Ave,Manhattan,NY,10014,41,-74
Inwood Park Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.,Isham St,Manhattan,NY,10034,41,-74
Bowling Green Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Broadway & Battery Pl,Manhattan,NY,10004,41,-74
City Hall Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Broadway,Manhattan,NY,10007,41,-74
Columbia University Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,W 116th St,Manhattan,NY,10027,41,-74
Dag Hammarskjold Plaza Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,2nd Ave,Manhattan,NY,10017,41,-74
Fort Washington Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Fort Washington Ave,Manhattan,NY,10032,41,-74
Grass Roots Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,Bradhurst Ave,Manhattan,NY,10039,41,-74
Harvest Home East Harlem Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.harvesthomefm.org'' target=''_blank''>http://www.harvesthomefm.org</a>,104th St & 3rd Ave,Manhattan,NY,10029,41,-74
Harvest Home West Harlem Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.harvesthomefm.org'' target=''_blank''>http://www.harvesthomefm.org</a>,W 137th St,Manhattan,NY,10031,41,-74
Morningside Park's Down to Earth Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.communitymarkets.biz'' target=''_blank''>http://www.communitymarkets.biz</a>,Cathedral Pkwy,Manhattan,NY,10026,41,-74
Mt. Sinai Hospital Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Madison Ave,Manhattan,NY,10029,41,-74
NY/NJ Port Authority Greenmarket,No EBT Accepted,"8th Ave & W 42nd St, inside bus terminal",Manhattan,NY,10019,41,-74
PS 11 Farm Market,Spend $5 in EBT and get a $2 Health Buck coupon.,21st St bet 8th & 9th Aves,Manhattan,NY,10011,41,-74
St. Mark's Church Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,E 10th St,Manhattan,NY,10003,41,-74
Staten Island Ferry/Whitehall Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,FDR Drive,Manhattan,NY,10004,41,-74
Stuyvesant Town Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,E 14th St,Manhattan,NY,10009,41,-74
Tompkins Square Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,E 7th St & Ave A,Manhattan,NY,10009,41,-74
Tribeca Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Greenwich & Chambers Sts,Manhattan,NY,10282,41,-74
Tucker Square Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,W 66th St & Columbus Ave,Manhattan,NY,10023,41,-74
Union Square Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Broadway,Manhattan,NY,10003,41,-74
Washington Heights 175th Street Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,175th St bet Broadway & Wadsworth Ave,Manhattan,NY,10033,41,-74
Astoria Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,30th Dr,Queens,NY,11106,41,-74
Corona Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,103rd St,Queens,NY,11368,41,-74
Elmhurst Hospital Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,41st Ave,Queens,NY,11373,41,-74
Jackson Heights Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,34th Ave bet 77th & 78th Sts,Queens,NY,11372,41,-74
Ridgewood Youthmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org/youthmarket'' target=''_blank''>http://www.grownyc.org/youthmarket</a>,Cypress Ave bet Myrtle & Putnam Aves,Queens,NY,11385,41,-74
Socrates Sculpture Park Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Vernon Blvd & Broadway,Queens,NY,11106,41,-74
Sunnyside Gardens Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,43rd St,Queens,NY,11104,41,-74
Staten Island Mall Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Platinum Ave,Staten Island,NY,10314,41,-74
Albee Square Greenmarket,,Fulton St,Brooklyn,NY,11201,41,-74
Bensonhurst Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,18th Ave,Brooklyn,NY,11214,41,-74
Brownsville Rockaway Youthmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org/youthmarket'' target=''_blank''>http://www.grownyc.org/youthmarket</a>,Rockaway Ave,Brooklyn,NY,11212,41,-74
Broadway French Market,No EBT Accepted,Broadway ,Manhattan,NY,10018,41,-74
Forest Hills Greenmarket,Spend $5 in EBT and get a $2 Health Buck coupon.,70th Ave,Queens,NY,11375,41,-74
Hamilton Heights Green Youthmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,143rd St ,Manhattan,NY,10031,41,-74
Harvest Home Harlem Hospital Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.harvesthomefm.org'' target=''_blank''>http://www.harvesthomefm.org</a>,Lenox Ave,Manhattan,NY,10037,41,-74
Harvest Home Lenox Ave Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.harvesthomefm.org'' target=''_blank''>http://www.harvesthomefm.org</a>,Lenox Ave,Manhattan,NY,10026,41,-74
Harvest Home Marcy Park Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.harvesthomefm.org'' target=''_blank''>http://www.harvesthomefm.org</a>,Myrtle Ave,Brooklyn,NY,11206,41,-74
Kingsbridge-Riverdale Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org/youthmarket'' target=''_blank''>http://www.grownyc.org/youthmarket</a>,W 231st St,Bronx,NY,10463,41,-74
Long Island City Youthmarket,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'',Vernon Blvd,Queens,NY,11101,41,-74
Marcy Plaza Community Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org/youthmarket'' target=''_blank''>http://www.grownyc.org/youthmarket</a>,1368 Fulton St,Brooklyn,NY,11216,41,-74
Norwood Youthmarket,Spend $5 in EBT and get a $2 Health Buck coupon.,Dekalb Ave,Bronx,NY,10469,41,-74
Pomonok Community Run Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,Kissena Blvd,Queens,NY,11367,41,-74
Queens Botanical Garden's Down to Earth Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,Dahlia Ave,Queens,NY,11355,41,-74
Queens Hospital Center Farmers' Market,No EBT Accepted,82-68 164th St,Queens,NY,11432,41,-74
Saratoga Farm Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org/youthmarket'' target=''_blank''>http://www.grownyc.org/youthmarket</a>,Saratoga Ave & Fulton St,Brooklyn,NY,11233,41,-74
Williamsbridge Square HERBan Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.<br><br><b>Program Website:</b> <a  href=''http://www.grownyc.org.'' target=''_blank''>http://www.grownyc.org.</a>,Williamsbridge Square Park on White Plains Road an,Bronx,NY,10467,41,-74
El Barrio Youth Marqueta,Spend $5 in EBT and get a $2 Health Buck coupon.,Park Ave,Manhattan,NY,10029,41,-74
Albany Street Greenmarket,,Greenwich St,Manhattan,NY,10006,41,-74
Bushwick Farmers' Market at Make the Road,,,,NY,,41,-74
Bushwick Farmers' Market at Maria Hernandez Park,,Starr St,Brooklyn,NY,11237,41,-74
Bushwick Farmers' Market on Broadway,,Broadway,Brooklyn,NY,11207,41,-74
Chelsea's Down to Earth Farmers' Market,,W 23rd St,Manhattan,NY,10011,41,-74
PS 7 Farm Stand,,E 119th St,Manhattan,NY,10035,41,-74
Pitkin Verde Farmers? Market,,Pitkin Ave,Brooklyn,NY,11207,41,-74
